Ano Modelo,Cor,Código FIPE,Grupo,Modelo,Montadora,Pátio de Veículos,Situação,Unidade de Operação,Valor FIPE,Idade,Categoria
2025,BRANCA,017103-4,ASSINATURA - KAPO,RENEGADE SPORT ALTITUDE 1.3 TB FLEX AUT.,JEEP,,LOCADO,KAPÔ,130710,1,AUTOMOVEL
2025,PRETA,095011-4,ASSINATURA - KAPO,KING GS 1.5 16V AUT. (HIBRIDO),BYD,,LOCADO,KAPÔ,157022,1,AUTOMOVEL
2025,PRETA,095011-4,ASSINATURA - KAPO,KING GS 1.5 16V AUT. (HIBRIDO),BYD,,LOCADO,KAPÔ,157022,1,AUTOMOVEL
2025,BRANCA,001494-0,ASSINATURA - KAPO,ARGO DRIVE 1.0 6V FLEX,FIAT,,LOCADO,KAPÔ,79520,1,AUTOMOVEL
2025,PRETA,095011-4,ASSINATURA - KAPO,KING GS 1.5 16V AUT. (HIBRIDO),BYD,,LOCADO,KAPÔ,157022,1,AUTOMOVEL
2025,PRETA,095011-4,ASSINATURA - KAPO,KING GS 1.5 16V AUT. (HIBRIDO),BYD,,LOCADO,KAPÔ,157022,1,AUTOMOVEL
2025,PRETA,095011-4,ASSINATURA - KAPO,KING GS 1.5 16V AUT. (HIBRIDO),BYD,,LOCADO,KAPÔ,157022,1,AUTOMOVEL
2024,AZUL,083015-1,ASSINATURA - KAPO,RAMPAGE REBEL 2.0 TB CD 4X4 DIESEL AUT.,OUTRAS,,LOCADO,KAPÔ,209635,2,AUTOMOVEL
2024,CINZA,083017-8,ASSINATURA - PRIMAVIA,RAMPAGE LARAMIE 2.0 TB CD 4X4 DIE. AUT.,OUTRAS,,LOCADO,KAPÔ,218235,2,AUTOMOVEL
2024,BRANCA,011222-4,KAPÔ GOLD - 3 MESES,C3 LIVE 1.0 FLEX 6V 5P MEC.,CITROËN,,LOCADO,KAPÔ,65774,2,AUTOMOVEL
2024,CINZA,011222-4,ASSINATURA - KAPO,C3 LIVE 1.0 FLEX 6V 5P MEC.,CITROËN,,LOCADO,KAPÔ,65774,2,AUTOMOVEL
2024,CINZA,011222-4,ASSINATURA - KAPO,C3 LIVE 1.0 FLEX 6V 5P MEC.,CITROËN,,LOCADO,KAPÔ,65774,2,AUTOMOVEL
2024,BRANCA,011222-4,KM FLEXÍVEL,C3 LIVE 1.0 FLEX 6V 5P MEC.,CITROËN,,LOCADO,KAPÔ,65774,2,AUTOMOVEL
